projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
titan,RESAMPLE_150_25_25,50,1356287791,50,157,50.0,54.14012738853504,$la$entropy$exp$sexp$ld$lt$Buggy,KNN,CFS,0.75,0.19,0.76,0.22231363460103573,1,0.7792483660130719,0.2229299363057325
titan,RESAMPLE_150_25_25,50,1356287791,50,157,50.0,54.14012738853504,$la$entropy$exp$sexp$ld$lt$Buggy,DT,CFS,0.02,0.08,0.02,0.6929788070832418,1,0.4700980392156862,0.5668789808917197
titan,RESAMPLE_150_25_25,50,1356287791,50,157,50.0,54.14012738853504,$la$entropy$exp$sexp$ld$lt$Buggy,LR,CFS,0.88,0.22,0.86,0.1777970001141888,0,0.8300653594771241,0.16560509554140124
titan,RESAMPLE_150_25_25,50,1356287791,50,157,50.0,54.14012738853504,$la$entropy$exp$sexp$ld$lt$Buggy,RF,CFS,0.44,0.07,0.49,0.4023153392726975,0,0.6829248366013072,0.3375796178343949
titan,RESAMPLE_150_25_25,50,1356287791,50,157,50.0,54.14012738853504,$la$entropy$exp$sexp$ld$lt$Buggy,NB,CFS,0.84,0.31,0.8,0.2454508354156949,1,0.7648692810457517,0.22929936305732485
titan,RESAMPLE_150_25_25,50,1356287791,50,157,50.0,54.14012738853504,$la$entropy$exp$sexp$ld$lt$Buggy,SVM,CFS,0.82,0.29,0.8,0.241051149091386,1,0.7659313725490196,0.22929936305732485
titan,RESAMPLE_300_25_25,50,1356287791,50,157,50.0,54.14012738853504,$ld$exp$sexp$entropy$ndev$la$lt$age$ns$Buggy,KNN,CFS,0.76,0.31,0.74,0.27269719409096616,1,0.7295751633986928,0.267515923566879
titan,RESAMPLE_300_25_25,50,1356287791,50,157,50.0,54.14012738853504,$ld$exp$sexp$entropy$ndev$la$lt$age$ns$Buggy,DT,CFS,0.8,0.39,0.75,0.3092204455572388,1,0.7055555555555556,0.28662420382165604
titan,RESAMPLE_300_25_25,50,1356287791,50,157,50.0,54.14012738853504,$ld$exp$sexp$entropy$ndev$la$lt$age$ns$Buggy,LR,CFS,0.94,0.22,0.9,0.1625467988947175,0,0.8594771241830065,0.1337579617834395
titan,RESAMPLE_300_25_25,50,1356287791,50,157,50.0,54.14012738853504,$ld$exp$sexp$entropy$ndev$la$lt$age$ns$Buggy,RF,CFS,0.81,0.31,0.78,0.2537683229664621,1,0.7531045751633987,0.2420382165605096
titan,RESAMPLE_300_25_25,50,1356287791,50,157,50.0,54.14012738853504,$ld$exp$sexp$entropy$ndev$la$lt$age$ns$Buggy,NB,CFS,0.11,0.08,0.13,0.6349766969056626,1,0.5112745098039215,0.5222929936305732
titan,RESAMPLE_300_25_25,50,1356287791,50,157,50.0,54.14012738853504,$ld$exp$sexp$entropy$ndev$la$lt$age$ns$Buggy,SVM,CFS,0.73,0.14,0.75,0.2150675667509805,1,0.7952614379084968,0.21019108280254775
titan,RESAMPLE_25_25,50,1356287791,50,157,50.0,54.14012738853504,$ld$sexp$la$ns$lt$exp$ndev$age$entropy$Buggy,KNN,CFS,0.91,0.43,0.81,0.3116377848622037,0,0.7376633986928104,0.2484076433121019
titan,RESAMPLE_25_25,50,1356287791,50,157,50.0,54.14012738853504,$ld$sexp$la$ns$lt$exp$ndev$age$entropy$Buggy,DT,CFS,0.08,0.15,0.1,0.6578058885226667,3,0.4647875816993464,0.5668789808917197
titan,RESAMPLE_25_25,50,1356287791,50,157,50.0,54.14012738853504,$ld$sexp$la$ns$lt$exp$ndev$age$entropy$Buggy,LR,CFS,0.91,0.29,0.86,0.2167113009655169,0,0.8071078431372548,0.18471337579617836
titan,RESAMPLE_25_25,50,1356287791,50,157,50.0,54.14012738853504,$ld$sexp$la$ns$lt$exp$ndev$age$entropy$Buggy,RF,CFS,0.56,0.21,0.59,0.3412358031009563,0,0.678186274509804,0.3312101910828025
titan,RESAMPLE_25_25,50,1356287791,50,157,50.0,54.14012738853504,$ld$sexp$la$ns$lt$exp$ndev$age$entropy$Buggy,NB,CFS,0.46,0.22,0.5,0.4136754092085496,0,0.6183006535947713,0.3949044585987261
titan,RESAMPLE_25_25,50,1356287791,50,157,50.0,54.14012738853504,$ld$sexp$la$ns$lt$exp$ndev$age$entropy$Buggy,SVM,CFS,0.86,0.36,0.8,0.2741642121208128,1,0.7488562091503268,0.2420382165605096
titan,RESAMPLE_150_25_25,50,1363942162,50,316,50.0,41.139240506329116,$ld$nuc$ndev$lt$entropy$la$exp$sexp$Buggy,KNN,CFS,0.55,0.24,0.58,0.35887743924197096,2,0.6559553349875931,0.3259493670886076
titan,RESAMPLE_150_25_25,50,1363942162,50,316,50.0,41.139240506329116,$ld$nuc$ndev$lt$entropy$la$exp$sexp$Buggy,DT,CFS,0.19,0.08,0.23,0.5735992759534568,1,0.5585194375516955,0.3765822784810127
titan,RESAMPLE_150_25_25,50,1363942162,50,316,50.0,41.139240506329116,$ld$nuc$ndev$lt$entropy$la$exp$sexp$Buggy,LR,CFS,0.68,0.25,0.69,0.28339953763964504,2,0.7186517783291977,0.27531645569620256
titan,RESAMPLE_150_25_25,50,1363942162,50,316,50.0,41.139240506329116,$ld$nuc$ndev$lt$entropy$la$exp$sexp$Buggy,RF,CFS,0.12,0.03,0.15,0.6259332877490026,0,0.5415632754342432,0.3829113924050633
titan,RESAMPLE_150_25_25,50,1363942162,50,316,50.0,41.139240506329116,$ld$nuc$ndev$lt$entropy$la$exp$sexp$Buggy,NB,CFS,0.0,0.0,0.0,0.7071067811865475,0,0.5,0.4113924050632912
titan,RESAMPLE_150_25_25,50,1363942162,50,316,50.0,41.139240506329116,$ld$nuc$ndev$lt$entropy$la$exp$sexp$Buggy,SVM,CFS,0.44,0.11,0.49,0.4042817545224503,1,0.6654673283705541,0.29430379746835444
