projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
wagtail,RESAMPLE_300_25_25,50,1401294501,50,472,50.0,12.711864406779661,$age$la$ns$lt$entropy$ld$exp$sexp$Buggy,KNN,CFS,0.63,0.35,0.63,0.3581932957693227,4,0.6419093851132686,0.3516949152542373
wagtail,RESAMPLE_300_25_25,50,1401294501,50,472,50.0,12.711864406779661,$age$la$ns$lt$entropy$ld$exp$sexp$Buggy,DT,CFS,0.67,0.51,0.62,0.4335241065885395,4,0.576051779935275,0.4915254237288136
wagtail,RESAMPLE_300_25_25,50,1401294501,50,472,50.0,12.711864406779661,$age$la$ns$lt$entropy$ld$exp$sexp$Buggy,LR,CFS,0.68,0.42,0.66,0.3705156956031748,4,0.6329288025889968,0.4046610169491525
wagtail,RESAMPLE_300_25_25,50,1401294501,50,472,50.0,12.711864406779661,$age$la$ns$lt$entropy$ld$exp$sexp$Buggy,RF,CFS,0.53,0.36,0.55,0.4174738622923106,3,0.5858414239482199,0.375
wagtail,RESAMPLE_300_25_25,50,1401294501,50,472,50.0,12.711864406779661,$age$la$ns$lt$entropy$ld$exp$sexp$Buggy,NB,CFS,0.88,0.74,0.6,0.5265351531457759,10,0.5739482200647249,0.6567796610169492
wagtail,RESAMPLE_300_25_25,50,1401294501,50,472,50.0,12.711864406779661,$age$la$ns$lt$entropy$ld$exp$sexp$Buggy,SVM,CFS,0.68,0.4,0.66,0.35967217719971184,4,0.6426375404530744,0.3877118644067797
wagtail,RESAMPLE_25_25,50,1401294501,50,472,50.0,12.711864406779661,$ld$age$exp$nuc$ns$sexp$la$entropy$lt$Buggy,KNN,CFS,0.62,0.35,0.63,0.3656597413280346,11,0.6347896440129449,0.3516949152542373
wagtail,RESAMPLE_25_25,50,1401294501,50,472,50.0,12.711864406779661,$ld$age$exp$nuc$ns$sexp$la$entropy$lt$Buggy,DT,CFS,0.7,0.51,0.64,0.4196922699674723,20,0.5939320388349515,0.4851694915254237
wagtail,RESAMPLE_25_25,50,1401294501,50,472,50.0,12.711864406779661,$ld$age$exp$nuc$ns$sexp$la$entropy$lt$Buggy,LR,CFS,0.67,0.41,0.65,0.3750783232862141,5,0.6270226537216828,0.4025423728813559
wagtail,RESAMPLE_25_25,50,1401294501,50,472,50.0,12.711864406779661,$ld$age$exp$nuc$ns$sexp$la$entropy$lt$Buggy,RF,CFS,0.68,0.39,0.66,0.3556572832671068,3,0.6462783171521036,0.3813559322033898
wagtail,RESAMPLE_25_25,50,1401294501,50,472,50.0,12.711864406779661,$ld$age$exp$nuc$ns$sexp$la$entropy$lt$Buggy,NB,CFS,0.82,0.68,0.62,0.4993936741154472,10,0.5673139158576052,0.6186440677966102
wagtail,RESAMPLE_25_25,50,1401294501,50,472,50.0,12.711864406779661,$ld$age$exp$nuc$ns$sexp$la$entropy$lt$Buggy,SVM,CFS,0.65,0.4,0.64,0.3735130131174093,5,0.6271844660194175,0.3898305084745763
wagtail,RESAMPLE_300_25_25,50,1401807277,50,92,50.0,15.217391304347824,$lt$ns$la$age$entropy$ld$exp$Buggy,KNN,CFS,0.64,0.33,0.65,0.3454432887749264,0,0.6547619047619049,0.33695652173913043
wagtail,RESAMPLE_300_25_25,50,1401807277,50,92,50.0,15.217391304347824,$lt$ns$la$age$entropy$ld$exp$Buggy,DT,CFS,0.36,0.35,0.4,0.5162788932977744,14,0.5054945054945055,0.39130434782608703
wagtail,RESAMPLE_300_25_25,50,1401807277,50,92,50.0,15.217391304347824,$lt$ns$la$age$entropy$ld$exp$Buggy,LR,CFS,0.71,0.29,0.71,0.2903291480993067,0,0.7097069597069596,0.29347826086956524
wagtail,RESAMPLE_300_25_25,50,1401807277,50,92,50.0,15.217391304347824,$lt$ns$la$age$entropy$ld$exp$Buggy,RF,CFS,0.14,0.1,0.17,0.6104151344313966,7,0.5201465201465201,0.21739130434782608
wagtail,RESAMPLE_300_25_25,50,1401807277,50,92,50.0,15.217391304347824,$lt$ns$la$age$entropy$ld$exp$Buggy,NB,CFS,0.93,0.83,0.49,0.5914163023035343,3,0.5476190476190476,0.7173913043478259
wagtail,RESAMPLE_300_25_25,50,1401807277,50,92,50.0,15.217391304347824,$lt$ns$la$age$entropy$ld$exp$Buggy,SVM,CFS,0.79,0.32,0.77,0.27262321568423176,1,0.7326007326007326,0.3043478260869565
