projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
watchman,RESAMPLE_150_25_25,50,1411491898,50,40,50.0,20.0,$sexp$lt$ld$age$nuc$la$Buggy,KNN,CFS,0.12,0.25,0.14,0.6434768838116874,4,0.4375,0.375
watchman,RESAMPLE_150_25_25,50,1411491898,50,40,50.0,20.0,$sexp$lt$ld$age$nuc$la$Buggy,DT,CFS,0.75,0.5,0.68,0.3952847075210474,5,0.625,0.45
watchman,RESAMPLE_150_25_25,50,1411491898,50,40,50.0,20.0,$sexp$lt$ld$age$nuc$la$Buggy,LR,CFS,0.25,0.06,0.29,0.5321683239352,1,0.59375,0.2
watchman,RESAMPLE_150_25_25,50,1411491898,50,40,50.0,20.0,$sexp$lt$ld$age$nuc$la$Buggy,RF,CFS,0.38,0.25,0.42,0.4759858191164942,4,0.5625,0.325
watchman,RESAMPLE_150_25_25,50,1411491898,50,40,50.0,20.0,$sexp$lt$ld$age$nuc$la$Buggy,NB,CFS,0.25,0.34,0.29,0.5833798344560771,5,0.453125,0.425
watchman,RESAMPLE_150_25_25,50,1411491898,50,40,50.0,20.0,$sexp$lt$ld$age$nuc$la$Buggy,SVM,CFS,0.12,0.16,0.14,0.6285057925349614,1,0.484375,0.3
watchman,RESAMPLE_300_25_25,50,1411491898,50,40,50.0,20.0,$nuc$entropy$sexp$la$ld$lt$Buggy,KNN,CFS,0.62,0.19,0.65,0.2964635306407856,2,0.71875,0.225
watchman,RESAMPLE_300_25_25,50,1411491898,50,40,50.0,20.0,$nuc$entropy$sexp$la$ld$lt$Buggy,DT,CFS,0.62,0.28,0.64,0.3314563036811941,2,0.671875,0.3
watchman,RESAMPLE_300_25_25,50,1411491898,50,40,50.0,20.0,$nuc$entropy$sexp$la$ld$lt$Buggy,LR,CFS,0.62,0.16,0.65,0.2872621298570349,1,0.734375,0.2
watchman,RESAMPLE_300_25_25,50,1411491898,50,40,50.0,20.0,$nuc$entropy$sexp$la$ld$lt$Buggy,RF,CFS,0.75,0.47,0.69,0.37565047750535335,5,0.640625,0.425
watchman,RESAMPLE_300_25_25,50,1411491898,50,40,50.0,20.0,$nuc$entropy$sexp$la$ld$lt$Buggy,NB,CFS,0.38,0.38,0.41,0.5153882032022076,3,0.5,0.425
