projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
wp-cli,RESAMPLE_150_25_25,50,1353075220,50,308,50.0,12.337662337662337,$la$ld$lt$age$ns$entropy$exp$sexp$nf$Buggy,KNN,CFS,0.66,0.43,0.64,0.3883411063330954,0,0.6141325536062379,0.4188311688311688
wp-cli,RESAMPLE_150_25_25,50,1353075220,50,308,50.0,12.337662337662337,$la$ld$lt$age$ns$entropy$exp$sexp$nf$Buggy,DT,CFS,0.63,0.45,0.61,0.4102260564071809,0,0.5917153996101364,0.4383116883116883
wp-cli,RESAMPLE_150_25_25,50,1353075220,50,308,50.0,12.337662337662337,$la$ld$lt$age$ns$entropy$exp$sexp$nf$Buggy,LR,CFS,0.58,0.35,0.59,0.38799809549219066,15,0.6135477582846004,0.3603896103896104
wp-cli,RESAMPLE_150_25_25,50,1353075220,50,308,50.0,12.337662337662337,$la$ld$lt$age$ns$entropy$exp$sexp$nf$Buggy,RF,CFS,0.61,0.39,0.61,0.39366617728337344,0,0.6063352826510721,0.3928571428571429
wp-cli,RESAMPLE_150_25_25,50,1353075220,50,308,50.0,12.337662337662337,$la$ld$lt$age$ns$entropy$exp$sexp$nf$Buggy,NB,CFS,0.92,0.85,0.45,0.6049315103728846,0,0.5346003898635477,0.7564935064935064
wp-cli,RESAMPLE_150_25_25,50,1353075220,50,308,50.0,12.337662337662337,$la$ld$lt$age$ns$entropy$exp$sexp$nf$Buggy,SVM,CFS,0.53,0.28,0.56,0.3882893412966029,10,0.6242690058479531,0.301948051948052
wp-cli,RESAMPLE_300_25_25,50,1353075220,50,308,50.0,12.337662337662337,$la$entropy$ld$age$lt$exp$nuc$Buggy,KNN,CFS,0.79,0.57,0.68,0.4299091119273484,0,0.6095516569200781,0.525974025974026
wp-cli,RESAMPLE_300_25_25,50,1353075220,50,308,50.0,12.337662337662337,$la$entropy$ld$age$lt$exp$nuc$Buggy,DT,CFS,0.68,0.46,0.65,0.391952711361512,0,0.6143274853801169,0.4383116883116883
wp-cli,RESAMPLE_300_25_25,50,1353075220,50,308,50.0,12.337662337662337,$la$entropy$ld$age$lt$exp$nuc$Buggy,LR,CFS,0.84,0.44,0.76,0.33104618142423464,0,0.700682261208577,0.40584415584415584
wp-cli,RESAMPLE_300_25_25,50,1353075220,50,308,50.0,12.337662337662337,$la$entropy$ld$age$lt$exp$nuc$Buggy,RF,CFS,0.82,0.46,0.74,0.34989468788544337,0,0.6782651072124757,0.4253246753246753
wp-cli,RESAMPLE_300_25_25,50,1353075220,50,308,50.0,12.337662337662337,$la$entropy$ld$age$lt$exp$nuc$Buggy,NB,CFS,0.37,0.26,0.41,0.4837569051958138,0,0.552729044834308,0.3084415584415585
wp-cli,RESAMPLE_300_25_25,50,1353075220,50,308,50.0,12.337662337662337,$la$entropy$ld$age$lt$exp$nuc$Buggy,SVM,CFS,0.55,0.25,0.58,0.3617430079382875,11,0.6522417153996102,0.2727272727272727
wp-cli,RESAMPLE_25_25,50,1353075220,50,308,50.0,12.337662337662337,$la$ld$age$entropy$exp$fix$lt$Buggy,KNN,CFS,0.74,0.5,0.68,0.3995322750181309,18,0.618421052631579,0.4707792207792208
wp-cli,RESAMPLE_25_25,50,1353075220,50,308,50.0,12.337662337662337,$la$ld$age$entropy$exp$fix$lt$Buggy,DT,CFS,0.74,0.62,0.62,0.4777094155391368,17,0.5573099415204679,0.577922077922078
wp-cli,RESAMPLE_25_25,50,1353075220,50,308,50.0,12.337662337662337,$la$ld$age$entropy$exp$fix$lt$Buggy,LR,CFS,0.66,0.5,0.62,0.4305539642165432,18,0.5770955165692009,0.4837662337662338
wp-cli,RESAMPLE_25_25,50,1353075220,50,308,50.0,12.337662337662337,$la$ld$age$entropy$exp$fix$lt$Buggy,RF,CFS,0.53,0.39,0.54,0.4350319959844979,13,0.5668615984405457,0.4025974025974026
wp-cli,RESAMPLE_25_25,50,1353075220,50,308,50.0,12.337662337662337,$la$ld$age$entropy$exp$fix$lt$Buggy,NB,CFS,0.71,0.59,0.62,0.4639963024137184,19,0.5608187134502924,0.551948051948052
