projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
yii,RESAMPLE_150_25_25,50,1235920306,50,18,50.0,66.66666666666667,$la$entropy$ld$lt$age$exp$sexp$Buggy,KNN,CFS,0.92,0.67,0.68,0.4750730937913074,0,0.625,0.2777777777777778
yii,RESAMPLE_150_25_25,50,1235920306,50,18,50.0,66.66666666666667,$la$entropy$ld$lt$age$exp$sexp$Buggy,DT,CFS,0.83,0.67,0.64,0.485912657903775,0,0.5833333333333335,0.3333333333333333
yii,RESAMPLE_150_25_25,50,1235920306,50,18,50.0,66.66666666666667,$la$entropy$ld$lt$age$exp$sexp$Buggy,LR,CFS,0.92,0.83,0.49,0.5921946001479956,0,0.5416666666666666,0.3333333333333333
yii,RESAMPLE_150_25_25,50,1235920306,50,18,50.0,66.66666666666667,$la$entropy$ld$lt$age$exp$sexp$Buggy,RF,CFS,0.25,0.5,0.28,0.6373774391990981,1,0.375,0.6666666666666666
yii,RESAMPLE_150_25_25,50,1235920306,50,18,50.0,66.66666666666667,$la$entropy$ld$lt$age$exp$sexp$Buggy,NB,CFS,0.92,0.83,0.49,0.5921946001479956,0,0.5416666666666666,0.3333333333333333
yii,RESAMPLE_150_25_25,50,1235920306,50,18,50.0,66.66666666666667,$la$entropy$ld$lt$age$exp$sexp$Buggy,SVM,CFS,0.92,0.83,0.49,0.5921946001479956,0,0.5416666666666666,0.3333333333333333
yii,RESAMPLE_300_25_25,50,1235920306,50,18,50.0,66.66666666666667,$la$ld$ns$lt$age$exp$sexp$entropy$fix$Buggy,KNN,CFS,0.83,0.67,0.64,0.485912657903775,0,0.5833333333333335,0.3333333333333333
yii,RESAMPLE_300_25_25,50,1235920306,50,18,50.0,66.66666666666667,$la$ld$ns$lt$age$exp$sexp$entropy$fix$Buggy,DT,CFS,0.83,0.5,0.73,0.37267799624996495,0,0.6666666666666667,0.2777777777777778
yii,RESAMPLE_300_25_25,50,1235920306,50,18,50.0,66.66666666666667,$la$ld$ns$lt$age$exp$sexp$entropy$fix$Buggy,LR,CFS,0.92,0.67,0.68,0.4750730937913074,0,0.625,0.2777777777777778
yii,RESAMPLE_300_25_25,50,1235920306,50,18,50.0,66.66666666666667,$la$ld$ns$lt$age$exp$sexp$entropy$fix$Buggy,RF,CFS,0.83,0.67,0.64,0.485912657903775,0,0.5833333333333335,0.3333333333333333
yii,RESAMPLE_300_25_25,50,1235920306,50,18,50.0,66.66666666666667,$la$ld$ns$lt$age$exp$sexp$entropy$fix$Buggy,NB,CFS,1.0,1.0,0.0,0.7071067811865475,0,0.5,0.3333333333333333
yii,RESAMPLE_300_25_25,50,1235920306,50,18,50.0,66.66666666666667,$la$ld$ns$lt$age$exp$sexp$entropy$fix$Buggy,SVM,CFS,0.92,0.83,0.49,0.5921946001479956,0,0.5416666666666666,0.3333333333333333
yii,RESAMPLE_25_25,50,1235920306,50,18,50.0,66.66666666666667,$nuc$entropy$la$ns$lt$exp$sexp$ld$Buggy,KNN,CFS,0.92,0.83,0.49,0.5921946001479956,0,0.5416666666666666,0.3333333333333333
yii,RESAMPLE_25_25,50,1235920306,50,18,50.0,66.66666666666667,$nuc$entropy$la$ns$lt$exp$sexp$ld$Buggy,DT,CFS,0.83,0.5,0.73,0.37267799624996495,0,0.6666666666666667,0.2777777777777778
yii,RESAMPLE_25_25,50,1235920306,50,18,50.0,66.66666666666667,$nuc$entropy$la$ns$lt$exp$sexp$ld$Buggy,LR,CFS,0.92,0.83,0.49,0.5921946001479956,0,0.5416666666666666,0.3333333333333333
yii,RESAMPLE_25_25,50,1235920306,50,18,50.0,66.66666666666667,$nuc$entropy$la$ns$lt$exp$sexp$ld$Buggy,RF,CFS,0.83,0.83,0.47,0.6009252125773316,0,0.5,0.3888888888888889
yii,RESAMPLE_25_25,50,1235920306,50,18,50.0,66.66666666666667,$nuc$entropy$la$ns$lt$exp$sexp$ld$Buggy,NB,CFS,0.92,0.83,0.49,0.5921946001479956,0,0.5416666666666666,0.3333333333333333
yii,RESAMPLE_25_25,50,1235920306,50,18,50.0,66.66666666666667,$nuc$entropy$la$ns$lt$exp$sexp$ld$Buggy,SVM,CFS,0.92,0.83,0.49,0.5921946001479956,0,0.5416666666666666,0.3333333333333333
yii,RESAMPLE_150_25_25,50,1246769650,50,52,50.0,46.153846153846146,$la$ld$entropy$lt$age$exp$sexp$Buggy,KNN,CFS,0.96,0.68,0.69,0.4807261667439065,0,0.6398809523809523,0.38461538461538464
yii,RESAMPLE_150_25_25,50,1246769650,50,52,50.0,46.153846153846146,$la$ld$entropy$lt$age$exp$sexp$Buggy,DT,CFS,0.58,0.75,0.46,0.6066758241067097,0,0.4166666666666667,0.5961538461538461
yii,RESAMPLE_150_25_25,50,1246769650,50,52,50.0,46.153846153846146,$la$ld$entropy$lt$age$exp$sexp$Buggy,LR,CFS,0.96,0.75,0.61,0.5311478659992483,0,0.6041666666666667,0.4230769230769231
yii,RESAMPLE_150_25_25,50,1246769650,50,52,50.0,46.153846153846146,$la$ld$entropy$lt$age$exp$sexp$Buggy,RF,CFS,0.75,0.71,0.57,0.5351187165632749,0,0.5178571428571428,0.5
yii,RESAMPLE_150_25_25,50,1246769650,50,52,50.0,46.153846153846146,$la$ld$entropy$lt$age$exp$sexp$Buggy,NB,CFS,0.75,0.5,0.68,0.3952847075210474,0,0.625,0.38461538461538464
yii,RESAMPLE_150_25_25,50,1246769650,50,52,50.0,46.153846153846146,$la$ld$entropy$lt$age$exp$sexp$Buggy,SVM,CFS,0.92,0.54,0.77,0.3833629092405861,0,0.6904761904761905,0.3269230769230769
yii,RESAMPLE_300_25_25,50,1246769650,50,52,50.0,46.153846153846146,$la$ns$ld$lt$entropy$age$exp$sexp$Buggy,KNN,CFS,0.79,0.5,0.71,0.3830161731427132,0,0.6458333333333333,0.36538461538461536
yii,RESAMPLE_300_25_25,50,1246769650,50,52,50.0,46.153846153846146,$la$ns$ld$lt$entropy$age$exp$sexp$Buggy,DT,CFS,0.25,0.25,0.29,0.5590169943749475,0,0.5,0.4807692307692308
yii,RESAMPLE_300_25_25,50,1246769650,50,52,50.0,46.153846153846146,$la$ns$ld$lt$entropy$age$exp$sexp$Buggy,LR,CFS,0.92,0.71,0.64,0.5085019793850843,0,0.6011904761904762,0.4230769230769231
yii,RESAMPLE_300_25_25,50,1246769650,50,52,50.0,46.153846153846146,$la$ns$ld$lt$entropy$age$exp$sexp$Buggy,RF,CFS,0.75,0.36,0.73,0.3082620803862869,0,0.6964285714285714,0.3076923076923077
yii,RESAMPLE_300_25_25,50,1246769650,50,52,50.0,46.153846153846146,$la$ns$ld$lt$entropy$age$exp$sexp$Buggy,NB,CFS,0.5,0.21,0.54,0.384654629081036,0,0.6428571428571429,0.3461538461538461
yii,RESAMPLE_300_25_25,50,1246769650,50,52,50.0,46.153846153846146,$la$ns$ld$lt$entropy$age$exp$sexp$Buggy,SVM,CFS,0.92,0.57,0.75,0.4083350687176785,0,0.6726190476190476,0.3461538461538461
