projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
zipline,RESAMPLE_150_25_25,50,1374918637,50,274,50.0,23.357664233576642,$exp$ns$age$sexp$entropy$ld$Buggy,KNN,CFS,0.75,0.48,0.69,0.3832852676165392,10,0.6345238095238095,0.42700729927007297
zipline,RESAMPLE_150_25_25,50,1374918637,50,274,50.0,23.357664233576642,$exp$ns$age$sexp$entropy$ld$Buggy,DT,CFS,0.23,0.45,0.26,0.6288203903747466,0,0.39099702380952384,0.5255474452554745
zipline,RESAMPLE_150_25_25,50,1374918637,50,274,50.0,23.357664233576642,$exp$ns$age$sexp$entropy$ld$Buggy,LR,CFS,0.75,0.3,0.74,0.2761340254296815,3,0.7249999999999999,0.2883211678832117
zipline,RESAMPLE_150_25_25,50,1374918637,50,274,50.0,23.357664233576642,$exp$ns$age$sexp$entropy$ld$Buggy,RF,CFS,0.83,0.6,0.68,0.4380921168245759,1,0.6164434523809524,0.4963503649635037
zipline,RESAMPLE_150_25_25,50,1374918637,50,274,50.0,23.357664233576642,$exp$ns$age$sexp$entropy$ld$Buggy,NB,CFS,1.0,0.9,0.36,0.6330289279193854,2,0.5523809523809524,0.6861313868613139
zipline,RESAMPLE_150_25_25,50,1374918637,50,274,50.0,23.357664233576642,$exp$ns$age$sexp$entropy$ld$Buggy,SVM,CFS,0.69,0.21,0.71,0.2679315372879225,3,0.7366071428571429,0.2372262773722628
zipline,RESAMPLE_300_25_25,50,1374918637,50,274,50.0,23.357664233576642,$ld$ns$age$la$entropy$exp$Buggy,KNN,CFS,0.77,0.46,0.71,0.3632569562043752,6,0.6542410714285715,0.4051094890510949
zipline,RESAMPLE_300_25_25,50,1374918637,50,274,50.0,23.357664233576642,$ld$ns$age$la$entropy$exp$Buggy,DT,CFS,0.44,0.15,0.49,0.4120838535107424,1,0.6425595238095237,0.24817518248175185
zipline,RESAMPLE_300_25_25,50,1374918637,50,274,50.0,23.357664233576642,$ld$ns$age$la$entropy$exp$Buggy,LR,CFS,0.75,0.32,0.73,0.2892685670011093,4,0.7130952380952381,0.30656934306569344
zipline,RESAMPLE_300_25_25,50,1374918637,50,274,50.0,23.357664233576642,$ld$ns$age$la$entropy$exp$Buggy,RF,CFS,0.34,0.1,0.39,0.4693953890378557,2,0.6218750000000001,0.2299270072992701
zipline,RESAMPLE_300_25_25,50,1374918637,50,274,50.0,23.357664233576642,$ld$ns$age$la$entropy$exp$Buggy,NB,CFS,0.97,0.8,0.55,0.5627522503810685,2,0.5867559523809525,0.6167883211678832
zipline,RESAMPLE_300_25_25,50,1374918637,50,274,50.0,23.357664233576642,$ld$ns$age$la$entropy$exp$Buggy,SVM,CFS,0.75,0.32,0.73,0.2892685670011093,4,0.7130952380952381,0.30656934306569344
zipline,RESAMPLE_25_25,50,1374918637,50,274,50.0,23.357664233576642,$age$entropy$la$ld$ns$exp$lt$sexp$nuc$Buggy,KNN,CFS,0.25,0.1,0.29,0.5354787842152771,4,0.5726190476190476,0.2554744525547445
zipline,RESAMPLE_25_25,50,1374918637,50,274,50.0,23.357664233576642,$age$entropy$la$ld$ns$exp$lt$sexp$nuc$Buggy,DT,CFS,0.45,0.33,0.48,0.4528704984518814,1,0.5598958333333334,0.3832116788321168
zipline,RESAMPLE_25_25,50,1374918637,50,274,50.0,23.357664233576642,$age$entropy$la$ld$ns$exp$lt$sexp$nuc$Buggy,LR,CFS,0.73,0.31,0.72,0.28841084349165125,5,0.7124255952380952,0.29927007299270075
zipline,RESAMPLE_25_25,50,1374918637,50,274,50.0,23.357664233576642,$age$entropy$la$ld$ns$exp$lt$sexp$nuc$Buggy,RF,CFS,0.5,0.13,0.55,0.3659083066683358,3,0.6833333333333333,0.21897810218978106
zipline,RESAMPLE_25_25,50,1374918637,50,274,50.0,23.357664233576642,$age$entropy$la$ld$ns$exp$lt$sexp$nuc$Buggy,NB,CFS,0.98,0.81,0.54,0.5725263918855361,2,0.5874255952380952,0.6240875912408759
zipline,RESAMPLE_25_25,50,1374918637,50,274,50.0,23.357664233576642,$age$entropy$la$ld$ns$exp$lt$sexp$nuc$Buggy,SVM,CFS,0.77,0.42,0.72,0.34245156817910416,7,0.6709077380952381,0.3795620437956204
zipline,RESAMPLE_150_25_25,50,1389175231,50,213,50.0,21.596244131455396,$age$entropy$sexp$exp$ld$la$nuc$Buggy,KNN,CFS,0.87,0.62,0.69,0.449909095594444,4,0.6234053631866701,0.5164319248826291
zipline,RESAMPLE_150_25_25,50,1389175231,50,213,50.0,21.596244131455396,$age$entropy$sexp$exp$ld$la$nuc$Buggy,DT,CFS,0.67,0.51,0.62,0.43100282237281695,5,0.5794714917990107,0.4741784037558686
zipline,RESAMPLE_150_25_25,50,1389175231,50,213,50.0,21.596244131455396,$age$entropy$sexp$exp$ld$la$nuc$Buggy,LR,CFS,0.67,0.31,0.67,0.31881694766305274,1,0.6812678989846394,0.3145539906103286
