projectName,trainApproach,train_info,testReleaseDate,train_changes,test_changes,train_Bug_Per,test_Bug_Per,features_selected,classifier,featureSelector,recall,pf,gm,d2h,ifa,auc,brier
zulip,RESAMPLE_150_25_25,50,1462246791,50,490,50.0,31.836734693877553,$la$ld$lt$entropy$age$exp$Buggy,KNN,CFS,0.66,0.34,0.66,0.34203510877727145,0,0.6579725165054506,0.3428571428571429
zulip,RESAMPLE_150_25_25,50,1462246791,50,490,50.0,31.836734693877553,$la$ld$lt$entropy$age$exp$Buggy,DT,CFS,0.37,0.16,0.42,0.45764649586684897,0,0.6080531245201903,0.30612244897959184
zulip,RESAMPLE_150_25_25,50,1462246791,50,490,50.0,31.836734693877553,$la$ld$lt$entropy$age$exp$Buggy,LR,CFS,0.66,0.31,0.67,0.32730337173987345,0,0.6729425763856902,0.3224489795918367
zulip,RESAMPLE_150_25_25,50,1462246791,50,490,50.0,31.836734693877553,$la$ld$lt$entropy$age$exp$Buggy,RF,CFS,0.64,0.4,0.63,0.3790967500067268,0,0.6214110241056349,0.3857142857142857
zulip,RESAMPLE_150_25_25,50,1462246791,50,490,50.0,31.836734693877553,$la$ld$lt$entropy$age$exp$Buggy,NB,CFS,0.28,0.16,0.32,0.5208487244081434,1,0.5586903116843236,0.3408163265306122
zulip,RESAMPLE_150_25_25,50,1462246791,50,490,50.0,31.836734693877553,$la$ld$lt$entropy$age$exp$Buggy,SVM,CFS,0.62,0.32,0.63,0.3525972974534424,0,0.6490096729617688,0.33877551020408164
zulip,RESAMPLE_300_25_25,50,1462246791,50,490,50.0,31.836734693877553,$age$la$ld$exp$lt$Buggy,KNN,CFS,0.61,0.44,0.6,0.4178820810222033,0,0.5829302932596346,0.426530612244898
zulip,RESAMPLE_300_25_25,50,1462246791,50,490,50.0,31.836734693877553,$age$la$ld$exp$lt$Buggy,DT,CFS,0.4,0.28,0.44,0.4661578402395493,0,0.5612045140488253,0.3816326530612245
zulip,RESAMPLE_300_25_25,50,1462246791,50,490,50.0,31.836734693877553,$age$la$ld$exp$lt$Buggy,LR,CFS,0.72,0.46,0.68,0.3780335781802052,0,0.6331375710118226,0.4
zulip,RESAMPLE_300_25_25,50,1462246791,50,490,50.0,31.836734693877553,$age$la$ld$exp$lt$Buggy,RF,CFS,0.49,0.44,0.5,0.4764786450481262,0,0.5250268693382466,0.4612244897959184
zulip,RESAMPLE_300_25_25,50,1462246791,50,490,50.0,31.836734693877553,$age$la$ld$exp$lt$Buggy,NB,CFS,0.66,0.61,0.58,0.49605560847492003,0,0.5232419775832949,0.5265306122448979
zulip,RESAMPLE_300_25_25,50,1462246791,50,490,50.0,31.836734693877553,$age$la$ld$exp$lt$Buggy,SVM,CFS,0.62,0.49,0.59,0.4382566371670417,0,0.5653884538615077,0.4551020408163266
zulip,RESAMPLE_25_25,50,1462246791,50,490,50.0,31.836734693877553,$la$ld$lt$nuc$exp$age$entropy$Buggy,KNN,CFS,0.63,0.28,0.65,0.3271877399700458,0,0.6763780132043605,0.30612244897959184
zulip,RESAMPLE_25_25,50,1462246791,50,490,50.0,31.836734693877553,$la$ld$lt$nuc$exp$age$entropy$Buggy,DT,CFS,0.51,0.51,0.51,0.498200042967695,0,0.5019192384461846,0.5020408163265306
zulip,RESAMPLE_25_25,50,1462246791,50,490,50.0,31.836734693877553,$la$ld$lt$nuc$exp$age$entropy$Buggy,LR,CFS,0.69,0.29,0.69,0.3006375281680283,0,0.699447259327499,0.2979591836734694
zulip,RESAMPLE_25_25,50,1462246791,50,490,50.0,31.836734693877553,$la$ld$lt$nuc$exp$age$entropy$Buggy,RF,CFS,0.54,0.22,0.58,0.357930954890791,1,0.661657454322125,0.2959183673469388
zulip,RESAMPLE_25_25,50,1462246791,50,490,50.0,31.836734693877553,$la$ld$lt$nuc$exp$age$entropy$Buggy,NB,CFS,0.44,0.24,0.48,0.4341803850533969,0,0.5966912329187779,0.3448979591836735
zulip,RESAMPLE_25_25,50,1462246791,50,490,50.0,31.836734693877553,$la$ld$lt$nuc$exp$age$entropy$Buggy,SVM,CFS,0.61,0.27,0.63,0.3357903545462045,0,0.6697566405650238,0.3081632653061224
zulip,RESAMPLE_150_25_25,50,1462899109,50,64,50.0,23.4375,$la$entropy$ld$lt$age$nuc$exp$sexp$Buggy,KNN,CFS,0.4,0.27,0.44,0.4638897167479103,0,0.5673469387755101,0.34375
zulip,RESAMPLE_150_25_25,50,1462899109,50,64,50.0,23.4375,$la$entropy$ld$lt$age$nuc$exp$sexp$Buggy,DT,CFS,0.53,0.16,0.57,0.3495950070875117,1,0.6850340136054421,0.234375
zulip,RESAMPLE_150_25_25,50,1462899109,50,64,50.0,23.4375,$la$entropy$ld$lt$age$nuc$exp$sexp$Buggy,LR,CFS,0.4,0.33,0.44,0.4830228983873476,1,0.536734693877551,0.390625
zulip,RESAMPLE_150_25_25,50,1462899109,50,64,50.0,23.4375,$la$entropy$ld$lt$age$nuc$exp$sexp$Buggy,RF,CFS,0.6,0.53,0.57,0.469866658976593,1,0.5346938775510204,0.5
zulip,RESAMPLE_150_25_25,50,1462899109,50,64,50.0,23.4375,$la$entropy$ld$lt$age$nuc$exp$sexp$Buggy,NB,CFS,1.0,0.98,0.09,0.6926760305500873,1,0.5102040816326531,0.75
zulip,RESAMPLE_150_25_25,50,1462899109,50,64,50.0,23.4375,$la$entropy$ld$lt$age$nuc$exp$sexp$Buggy,SVM,CFS,0.4,0.27,0.44,0.4638897167479103,0,0.5673469387755101,0.34375
zulip,RESAMPLE_300_25_25,50,1462899109,50,64,50.0,23.4375,$la$age$entropy$sexp$ld$ns$exp$Buggy,KNN,CFS,0.47,0.53,0.47,0.5319745289391665,1,0.4680272108843537,0.53125
zulip,RESAMPLE_300_25_25,50,1462899109,50,64,50.0,23.4375,$la$age$entropy$sexp$ld$ns$exp$Buggy,DT,CFS,0.6,0.73,0.48,0.5915129304212012,1,0.43265306122448977,0.65625
zulip,RESAMPLE_300_25_25,50,1462899109,50,64,50.0,23.4375,$la$age$entropy$sexp$ld$ns$exp$Buggy,LR,CFS,0.53,0.39,0.54,0.42902901821232425,1,0.5727891156462585,0.40625
zulip,RESAMPLE_300_25_25,50,1462899109,50,64,50.0,23.4375,$la$age$entropy$sexp$ld$ns$exp$Buggy,RF,CFS,0.6,0.51,0.57,0.4584256782263723,1,0.5448979591836736,0.484375
zulip,RESAMPLE_300_25_25,50,1462899109,50,64,50.0,23.4375,$la$age$entropy$sexp$ld$ns$exp$Buggy,NB,CFS,0.4,0.33,0.44,0.4830228983873476,1,0.536734693877551,0.390625
zulip,RESAMPLE_300_25_25,50,1462899109,50,64,50.0,23.4375,$la$age$entropy$sexp$ld$ns$exp$Buggy,SVM,CFS,0.47,0.43,0.49,0.483796400271953,1,0.5190476190476191,0.453125
zulip,RESAMPLE_25_25,50,1462899109,50,64,50.0,23.4375,$lt$la$ld$entropy$age$exp$nuc$sexp$Buggy,KNN,CFS,0.67,0.51,0.62,0.430940434413928,3,0.5782312925170068,0.46875
zulip,RESAMPLE_25_25,50,1462899109,50,64,50.0,23.4375,$lt$la$ld$entropy$age$exp$nuc$sexp$Buggy,DT,CFS,0.53,0.53,0.52,0.4996634528427257,1,0.501360544217687,0.515625
zulip,RESAMPLE_25_25,50,1462899109,50,64,50.0,23.4375,$lt$la$ld$entropy$age$exp$nuc$sexp$Buggy,LR,CFS,0.8,0.47,0.73,0.3607803103273053,1,0.6653061224489796,0.40625
zulip,RESAMPLE_25_25,50,1462899109,50,64,50.0,23.4375,$lt$la$ld$entropy$age$exp$nuc$sexp$Buggy,RF,CFS,0.93,0.82,0.51,0.5791517284036494,0,0.5585034013605442,0.640625
zulip,RESAMPLE_25_25,50,1462899109,50,64,50.0,23.4375,$lt$la$ld$entropy$age$exp$nuc$sexp$Buggy,NB,CFS,0.8,0.65,0.64,0.4829539123623037,0,0.573469387755102,0.546875
zulip,RESAMPLE_25_25,50,1462899109,50,64,50.0,23.4375,$lt$la$ld$entropy$age$exp$nuc$sexp$Buggy,SVM,CFS,0.8,0.55,0.69,0.4145018035017528,0,0.6244897959183674,0.46875
zulip,RESAMPLE_150_25_25,50,1466553588,50,480,50.0,41.66666666666666,$la$entropy$ld$lt$nf$age$nuc$sexp$exp$Buggy,KNN,CFS,0.52,0.36,0.54,0.4245673067479214,1,0.5796428571428571,0.41041666666666665
zulip,RESAMPLE_150_25_25,50,1466553588,50,480,50.0,41.66666666666666,$la$entropy$ld$lt$nf$age$nuc$sexp$exp$Buggy,DT,CFS,0.48,0.31,0.51,0.4326664478579784,1,0.5803571428571429,0.40208333333333335
zulip,RESAMPLE_150_25_25,50,1466553588,50,480,50.0,41.66666666666666,$la$entropy$ld$lt$nf$age$nuc$sexp$exp$Buggy,LR,CFS,0.48,0.26,0.52,0.4124602640106743,1,0.6078571428571429,0.37083333333333335
