rank,policy,median,iqr,q1,q2,q3,q4,q5
   1 ,                         M3_SVM ,    0.21   , 0.13 (   -- * ---    |              ), 0.11,  0.17,  0.21,  0.27,  0.36
   1 ,                         M6_SVM ,    0.21   , 0.13 (   -- * ---    |              ), 0.11,  0.16,  0.21,  0.27,  0.36
   2 ,                         M3_KNN ,    0.23   , 0.14 (   --  *---    |              ), 0.11,  0.18,  0.23,  0.29,  0.38
   2 ,                         M6_KNN ,    0.23   , 0.13 (   --  *---    |              ), 0.11,  0.18,  0.23,  0.29,  0.38
   2 ,                          M3_RF ,    0.24   , 0.14 (   --  * ---   |              ), 0.11,  0.18,  0.24,  0.30,  0.40
   2 ,                          M3_LR ,    0.24   , 0.13 (   --  * ---   |              ), 0.12,  0.19,  0.24,  0.30,  0.41
   2 ,                          M6_RF ,    0.24   , 0.15 (   --  * ----  |              ), 0.12,  0.19,  0.24,  0.30,  0.43
   2 ,                        ALL_SVM ,    0.25   , 0.17 (   --  * ----  |              ), 0.11,  0.19,  0.25,  0.32,  0.44
   2 ,                          M6_LR ,    0.25   , 0.15 (    -- * ----- |              ), 0.13,  0.20,  0.25,  0.31,  0.45
   2 ,                        ALL_KNN ,    0.25   , 0.15 (   --- * ----  |              ), 0.12,  0.19,  0.25,  0.31,  0.43
   3 ,                         ALL_RF ,    0.26   , 0.16 (    --  * ---- |              ), 0.13,  0.20,  0.26,  0.33,  0.45
   3 ,                          M3_DT ,    0.28   , 0.17 (    --  * ---- |              ), 0.15,  0.22,  0.28,  0.35,  0.47
   3 ,                          M6_DT ,    0.29   , 0.17 (    --  *  ----|              ), 0.15,  0.22,  0.29,  0.35,  0.48
   4 ,                         ALL_LR ,    0.3   ,  0.2 (    ---  *  ---|-             ), 0.15,  0.23,  0.30,  0.39,  0.55
   4 ,         RESAMPLE_150_25_25_SVM ,    0.31   , 0.18 (     --  *  ---|              ), 0.17,  0.25,  0.31,  0.39,  0.51
   4 ,                          M3_NB ,    0.31   , 0.16 (     --  * ----|              ), 0.18,  0.25,  0.31,  0.38,  0.50
   4 ,                         ALL_DT ,    0.32   , 0.18 (     --  *  ---|              ), 0.17,  0.25,  0.32,  0.39,  0.50
   4 ,          RESAMPLE_150_25_25_LR ,    0.32   , 0.17 (     --  *  ---|              ), 0.17,  0.26,  0.32,  0.39,  0.50
   4 ,                          M6_NB ,    0.32   , 0.18 (     --- *  ---|              ), 0.18,  0.26,  0.32,  0.39,  0.52
   4 ,          RESAMPLE_150_25_25_RF ,    0.33   ,  0.2 (     ---  * ---|-             ), 0.17,  0.26,  0.33,  0.42,  0.55
   4 ,         RESAMPLE_150_25_25_KNN ,    0.33   , 0.18 (     ---  * ---|              ), 0.19,  0.27,  0.33,  0.41,  0.53
   5 ,                         ALL_NB ,    0.36   ,  0.2 (      ---  * --|-             ), 0.20,  0.29,  0.36,  0.44,  0.58
   5 ,          RESAMPLE_150_25_25_NB ,    0.37   , 0.26 (     ---   *  -|----          ), 0.19,  0.29,  0.37,  0.48,  0.67
   5 ,          RESAMPLE_150_25_25_DT ,    0.38   ,  0.2 (      ---  *  -|--            ), 0.21,  0.31,  0.38,  0.47,  0.61
