rank,policy,median,iqr,q1,q2,q3,q4,q5
   1 ,          RESAMPLE_150_25_25_LR ,    0.36   , 0.16 (       --  *  -|--            ), 0.22,  0.30,  0.36,  0.42,  0.54
   1 ,                          M3_LR ,    0.36   , 0.18 (       --  *  -|--            ), 0.21,  0.29,  0.36,  0.44,  0.56
   1 ,                          M6_LR ,    0.36   , 0.19 (       --   * -|--            ), 0.22,  0.30,  0.36,  0.44,  0.56
   1 ,                          M3_NB ,    0.37   , 0.18 (       ---  * -|---           ), 0.22,  0.30,  0.37,  0.45,  0.60
   1 ,                          M6_NB ,    0.37   , 0.19 (       ---  *  |----          ), 0.22,  0.30,  0.37,  0.45,  0.62
   1 ,                         ALL_LR ,    0.38   ,  0.2 (       ---  *  |---           ), 0.23,  0.31,  0.38,  0.46,  0.59
   1 ,                        ALL_KNN ,    0.38   , 0.19 (        --  *  |---           ), 0.24,  0.32,  0.38,  0.46,  0.59
   1 ,         RESAMPLE_150_25_25_KNN ,    0.39   , 0.16 (        --  *  |--            ), 0.25,  0.33,  0.39,  0.45,  0.56
   1 ,                         ALL_NB ,    0.4   , 0.23 (       ---   * |------        ), 0.23,  0.32,  0.40,  0.49,  0.69
   1 ,         RESAMPLE_150_25_25_SVM ,    0.4   , 0.18 (        --   * |---           ), 0.24,  0.33,  0.40,  0.47,  0.59
   1 ,                         M6_KNN ,    0.4   ,  0.2 (        --   * |----          ), 0.24,  0.32,  0.40,  0.48,  0.61
   1 ,                        ALL_SVM ,    0.4   , 0.22 (       ---   * |----          ), 0.23,  0.32,  0.40,  0.50,  0.62
   1 ,                         M3_KNN ,    0.41   , 0.21 (        ---  * |----          ), 0.24,  0.33,  0.41,  0.49,  0.62
   1 ,                         ALL_DT ,    0.42   , 0.15 (         --- * |---           ), 0.28,  0.36,  0.42,  0.48,  0.58
   1 ,                         ALL_RF ,    0.42   , 0.19 (        ---  * |----          ), 0.26,  0.35,  0.42,  0.50,  0.61
   1 ,                         M6_SVM ,    0.43   , 0.26 (       ----   *| ----         ), 0.23,  0.33,  0.43,  0.53,  0.66
   1 ,                          M6_DT ,    0.43   , 0.17 (         ---  *|----          ), 0.28,  0.36,  0.43,  0.50,  0.60
   1 ,                         M3_SVM ,    0.43   , 0.26 (       ----   *| ----         ), 0.23,  0.33,  0.43,  0.53,  0.66
   1 ,                          M3_DT ,    0.43   , 0.17 (         ---  *|---           ), 0.28,  0.37,  0.43,  0.50,  0.60
   2 ,                          M6_RF ,    0.44   ,  0.2 (         ---  *| ----         ), 0.27,  0.36,  0.44,  0.53,  0.63
   2 ,                          M3_RF ,    0.44   ,  0.2 (        ----  *| ----         ), 0.27,  0.36,  0.44,  0.53,  0.63
   2 ,          RESAMPLE_150_25_25_RF ,    0.44   , 0.19 (         ---  *| ---          ), 0.28,  0.37,  0.44,  0.52,  0.62
   2 ,          RESAMPLE_150_25_25_DT ,    0.46   , 0.19 (         ---   * ----         ), 0.29,  0.38,  0.46,  0.53,  0.64
   3 ,          RESAMPLE_150_25_25_NB ,    0.54   ,  0.3 (          ---- |  *   -       ), 0.30,  0.43,  0.54,  0.67,  0.71
