rank,policy,median,iqr,q1,q2,q3,q4,q5
   1 ,          RESAMPLE_150_25_25_NB ,    0.41   , 0.58 (---         *  | -----        ), 0.00,  0.13,  0.41,  0.59,  0.75
   1 ,                          M3_RF ,    0.46   , 0.32 (    -----    * | ----         ), 0.15,  0.33,  0.46,  0.58,  0.71
   1 ,                          M6_RF ,    0.47   , 0.31 (    -----     *| ----         ), 0.15,  0.33,  0.47,  0.58,  0.71
   1 ,                         M3_SVM ,    0.48   , 0.41 (  ------      *|  ----        ), 0.10,  0.30,  0.48,  0.62,  0.76
   1 ,                         M6_SVM ,    0.48   ,  0.4 (  -------     *|  ----        ), 0.09,  0.31,  0.48,  0.63,  0.76
   1 ,                          M3_DT ,    0.5   , 0.25 (       ----   *| ----         ), 0.24,  0.39,  0.50,  0.59,  0.71
   1 ,                          M6_DT ,    0.51   , 0.25 (       -----   * ---          ), 0.24,  0.41,  0.51,  0.60,  0.70
   1 ,                         ALL_RF ,    0.51   , 0.29 (     ------    *  ---         ), 0.20,  0.39,  0.51,  0.61,  0.73
   1 ,                         M3_KNN ,    0.51   , 0.32 (     ------    *  ----        ), 0.17,  0.38,  0.51,  0.63,  0.76
   1 ,          RESAMPLE_150_25_25_RF ,    0.52   , 0.28 (     ------    *  ----        ), 0.20,  0.40,  0.52,  0.63,  0.74
   1 ,                         M6_KNN ,    0.53   ,  0.3 (     ------    *   ---        ), 0.18,  0.40,  0.53,  0.64,  0.76
   1 ,          RESAMPLE_150_25_25_DT ,    0.54   , 0.27 (      ------   |* ----        ), 0.21,  0.42,  0.54,  0.62,  0.74
   1 ,                         ALL_DT ,    0.54   ,  0.2 (        -----  |* ---         ), 0.29,  0.46,  0.54,  0.62,  0.71
   1 ,                        ALL_SVM ,    0.54   , 0.34 (    -------    |*  ----       ), 0.16,  0.38,  0.54,  0.66,  0.77
   2 ,                        ALL_KNN ,    0.57   , 0.28 (      -------  | * ---        ), 0.23,  0.46,  0.57,  0.66,  0.76
   2 ,         RESAMPLE_150_25_25_SVM ,    0.59   , 0.26 (        ------ | *  ---       ), 0.27,  0.48,  0.59,  0.69,  0.79
   2 ,                          M6_LR ,    0.6   , 0.24 (         ----- | *  ---       ), 0.31,  0.50,  0.60,  0.69,  0.80
   2 ,                          M3_LR ,    0.6   , 0.25 (        ------ | *  ---       ), 0.29,  0.50,  0.60,  0.69,  0.79
   3 ,                         ALL_LR ,    0.62   , 0.24 (         ------|  * ---       ), 0.31,  0.51,  0.62,  0.70,  0.80
   3 ,         RESAMPLE_150_25_25_KNN ,    0.62   , 0.22 (          -----|  * ---       ), 0.36,  0.53,  0.62,  0.70,  0.80
   3 ,                          M6_NB ,    0.67   , 0.24 (        -------|-   * ---     ), 0.28,  0.57,  0.67,  0.75,  0.84
   3 ,                         ALL_NB ,    0.67   , 0.29 (  -------------|    * ---     ), 0.09,  0.55,  0.67,  0.75,  0.84
   3 ,          RESAMPLE_150_25_25_LR ,    0.68   , 0.21 (           ----|-   * --      ), 0.40,  0.58,  0.68,  0.74,  0.83
   3 ,                          M3_NB ,    0.68   , 0.23 (         ------|-   * ---     ), 0.33,  0.58,  0.68,  0.75,  0.84
