rank,policy,median,iqr,q1,q2,q3,q4,q5
   1 ,          RESAMPLE_150_25_25_NB ,    0.54   , 0.15 (           -- *| ---          ), 0.46,  0.50,  0.54,  0.62,  0.73
   1 ,          RESAMPLE_150_25_25_DT ,    0.58   , 0.15 (           --- |* --          ), 0.45,  0.53,  0.58,  0.64,  0.73
   2 ,          RESAMPLE_150_25_25_RF ,    0.61   , 0.14 (            -- |* ---         ), 0.47,  0.55,  0.61,  0.66,  0.74
   2 ,                          M3_DT ,    0.62   , 0.13 (            ---| *---         ), 0.49,  0.57,  0.62,  0.67,  0.74
   2 ,                         ALL_DT ,    0.62   , 0.13 (            ---| *---         ), 0.47,  0.56,  0.62,  0.67,  0.74
   2 ,                          M6_DT ,    0.62   , 0.13 (            ---| *---         ), 0.48,  0.57,  0.62,  0.67,  0.74
   2 ,                          M6_RF ,    0.63   , 0.14 (             --| * --         ), 0.50,  0.57,  0.63,  0.68,  0.76
   2 ,                          M3_RF ,    0.63   , 0.14 (             --| * --         ), 0.51,  0.57,  0.63,  0.68,  0.76
   2 ,                         ALL_RF ,    0.64   , 0.14 (             --| * ---        ), 0.50,  0.58,  0.64,  0.69,  0.76
   2 ,         RESAMPLE_150_25_25_SVM ,    0.64   , 0.14 (             --|  *---        ), 0.51,  0.59,  0.64,  0.70,  0.77
   2 ,                         M3_SVM ,    0.65   , 0.16 (             --|  * ---       ), 0.50,  0.58,  0.65,  0.70,  0.79
   2 ,         RESAMPLE_150_25_25_KNN ,    0.65   , 0.14 (             --|  *---        ), 0.50,  0.59,  0.65,  0.70,  0.77
   2 ,                         M6_SVM ,    0.65   , 0.17 (             --|  * ---       ), 0.50,  0.58,  0.65,  0.71,  0.79
   2 ,                         M3_KNN ,    0.65   , 0.14 (             --|  * --        ), 0.52,  0.59,  0.65,  0.70,  0.78
   2 ,                         ALL_NB ,    0.65   , 0.17 (             --|  * ---       ), 0.50,  0.59,  0.65,  0.71,  0.80
   2 ,                         M6_KNN ,    0.65   , 0.14 (              -|  * --        ), 0.52,  0.60,  0.65,  0.71,  0.78
   2 ,                        ALL_SVM ,    0.66   , 0.16 (             --|  * --        ), 0.51,  0.59,  0.66,  0.71,  0.79
   2 ,                        ALL_KNN ,    0.66   , 0.13 (              -|  * --        ), 0.52,  0.60,  0.66,  0.71,  0.78
   2 ,                         ALL_LR ,    0.66   , 0.15 (             --|  * --        ), 0.51,  0.60,  0.66,  0.72,  0.79
   3 ,                          M6_NB ,    0.67   , 0.15 (             --|  * ---       ), 0.52,  0.61,  0.67,  0.72,  0.80
   3 ,                          M3_NB ,    0.67   , 0.14 (              -|-  *---       ), 0.52,  0.62,  0.67,  0.73,  0.80
   3 ,                          M6_LR ,    0.68   , 0.14 (              -|-  *---       ), 0.53,  0.62,  0.68,  0.73,  0.80
   3 ,          RESAMPLE_150_25_25_LR ,    0.68   , 0.14 (              -|-  *---       ), 0.54,  0.62,  0.68,  0.73,  0.80
   3 ,                          M3_LR ,    0.68   , 0.14 (              -|-  *---       ), 0.54,  0.62,  0.68,  0.73,  0.80
