rank,policy,median,iqr,q1,q2,q3,q4,q5
   1 ,             RECENT_RELEASE_SVM ,    0.0   ,  2.0 (*              |              ), 0.00,  0.00,  0.00,  1.00,  3.00
   2 ,          RESAMPLE_150_25_25_DT ,    1.0   ,  4.0 (*              |              ), 0.00,  0.00,  1.00,  3.00,  7.00
   2 ,          RESAMPLE_150_25_25_RF ,    1.0   ,  3.0 (*              |              ), 0.00,  0.00,  1.00,  2.00,  7.00
   2 ,              RECENT_RELEASE_NB ,    1.0   ,  3.0 (*              |              ), 0.00,  0.00,  1.00,  2.00,  5.00
   2 ,          RESAMPLE_150_25_25_LR ,    1.0   ,  3.0 (*              |              ), 0.00,  0.00,  1.00,  2.00,  6.00
   2 ,              RECENT_RELEASE_DT ,    1.0   ,  3.0 (*              |              ), 0.00,  0.00,  1.00,  2.00,  5.00
   2 ,              RECENT_RELEASE_LR ,    1.0   ,  2.0 (*              |              ), 0.00,  0.00,  1.00,  2.00,  4.00
   2 ,          RESAMPLE_150_25_25_NB ,    1.0   ,  3.0 (*              |              ), 0.00,  0.00,  1.00,  2.00,  8.00
   2 ,             RECENT_RELEASE_KNN ,    1.0   ,  2.0 (*              |              ), 0.00,  0.00,  1.00,  2.00,  4.00
   2 ,         RESAMPLE_150_25_25_SVM ,    1.0   ,  3.0 (*              |              ), 0.00,  0.00,  1.00,  2.00,  6.00
   2 ,         RESAMPLE_150_25_25_KNN ,    1.0   ,  3.0 (*              |              ), 0.00,  0.00,  1.00,  3.00,  6.00
   2 ,              RECENT_RELEASE_RF ,    1.0   ,  2.0 (*              |              ), 0.00,  0.00,  1.00,  1.00,  4.00
