rank,policy,median,iqr,q1,q2,q3,q4,q5
   1 ,             RECENT_RELEASE_SVM ,    0.12   , 0.18 (-  * ------    |              ), 0.02,  0.06,  0.12,  0.20,  0.40
   1 ,              RECENT_RELEASE_RF ,    0.13   , 0.16 (-- * ------    |              ), 0.03,  0.08,  0.13,  0.20,  0.37
   1 ,             RECENT_RELEASE_KNN ,    0.15   , 0.17 (--  * ------   |              ), 0.03,  0.09,  0.15,  0.22,  0.41
   2 ,              RECENT_RELEASE_LR ,    0.18   , 0.16 ( --  * ----    |              ), 0.06,  0.12,  0.18,  0.25,  0.40
   2 ,              RECENT_RELEASE_DT ,    0.2   ,  0.2 (  -- *  ------ |              ), 0.07,  0.14,  0.20,  0.29,  0.47
   3 ,          RESAMPLE_150_25_25_RF ,    0.26   , 0.29 ( ---   *   ----|--            ), 0.06,  0.16,  0.26,  0.39,  0.61
   3 ,         RESAMPLE_150_25_25_SVM ,    0.26   , 0.27 (  ---  *   ----|-             ), 0.07,  0.17,  0.26,  0.37,  0.58
   3 ,          RESAMPLE_150_25_25_NB ,    0.29   , 0.51 (---     *      |----------    ), 0.00,  0.12,  0.29,  0.52,  0.89
   3 ,              RECENT_RELEASE_NB ,    0.3   ,  0.3 (  ---   *    --|----          ), 0.09,  0.20,  0.30,  0.44,  0.67
   3 ,          RESAMPLE_150_25_25_LR ,    0.31   , 0.25 (   ---   *  ---|-             ), 0.11,  0.22,  0.31,  0.42,  0.60
   3 ,         RESAMPLE_150_25_25_KNN ,    0.32   , 0.28 (   ---   *   --|--            ), 0.12,  0.22,  0.32,  0.44,  0.62
   3 ,          RESAMPLE_150_25_25_DT ,    0.35   , 0.32 (   ----   *   -|-----         ), 0.11,  0.24,  0.35,  0.49,  0.71
