rank,policy,median,iqr,q1,q2,q3,q4,q5
   1 ,              RECENT_RELEASE_RF ,    0.43   , 0.35 (   -----    *  | -----        ), 0.11,  0.29,  0.43,  0.57,  0.75
   1 ,             RECENT_RELEASE_SVM ,    0.47   , 0.42 (  ------      *|  ------      ), 0.10,  0.29,  0.47,  0.62,  0.81
   1 ,              RECENT_RELEASE_DT ,    0.5   ,  0.3 (     -----    *| ------       ), 0.20,  0.36,  0.50,  0.60,  0.77
   1 ,             RECENT_RELEASE_KNN ,    0.5   , 0.37 (    -----     *|  -----       ), 0.14,  0.33,  0.50,  0.62,  0.80
   1 ,          RESAMPLE_150_25_25_RF ,    0.52   , 0.36 (     ------    *   -----      ), 0.17,  0.38,  0.52,  0.66,  0.83
   1 ,          RESAMPLE_150_25_25_NB ,    0.54   , 0.68 (-------        |*      ------ ), 0.00,  0.25,  0.54,  0.78,  0.97
   2 ,          RESAMPLE_150_25_25_DT ,    0.56   , 0.35 (      ------   |*   -----     ), 0.21,  0.43,  0.56,  0.70,  0.86
   2 ,              RECENT_RELEASE_LR ,    0.59   , 0.29 (       ------  | *  ----      ), 0.26,  0.46,  0.59,  0.69,  0.83
   2 ,         RESAMPLE_150_25_25_SVM ,    0.6   , 0.34 (       ------  | *   -----    ), 0.25,  0.45,  0.60,  0.72,  0.88
   3 ,         RESAMPLE_150_25_25_KNN ,    0.64   , 0.29 (         ------|   *  ----    ), 0.33,  0.52,  0.64,  0.75,  0.89
   3 ,              RECENT_RELEASE_NB ,    0.71   , 0.37 (        -------|     *   ---  ), 0.29,  0.56,  0.71,  0.84,  0.96
   3 ,          RESAMPLE_150_25_25_LR ,    0.71   , 0.28 (           ----|-    *  ---   ), 0.38,  0.59,  0.71,  0.81,  0.92
